,cyclomatic_complexity,tloc,sloc_whbl,sloc_statements_wc,nloc_whbl,nloc,token_count,start_line,end_line,full_parameters,argDT,numArg,numLoops,numVariablesDeclared,numAritOper,numExternalMethods,return,Total_return,TotalVariablesReturned,returnType,ext
add_values.java,2,9,9,6,6,7,42,2,8,['Integer [ ] a'],['array_Integer'],1,1,2,1,1,True,1,1,int ,java
array_calc.java,2,11,10,7,7,8,60,3,10,"['Integer [ ] a', ' Integer k']","['array_Integer', 'Integer ']",2,1,1,1,2,True,1,1,array_int ,java
array_copy.java,2,12,10,7,7,8,55,4,11,['Integer [ ] a'],['array_Integer'],1,1,1,0,2,True,1,1,array_int ,java
autoCorrelation.java,2,12,10,7,7,8,79,4,11,"['Double [ ] data', ' Integer lag', ' Double mean', ' Double variance']","['array_Double', 'Integer ', 'Double ', 'Double ']",4,1,3,5,1,True,1,1,double ,java
average.java,2,9,9,6,6,7,46,2,8,['Integer [ ] a'],['array_Integer'],1,1,2,2,2,True,1,1,double ,java
bi_SearchFromTo.java,4,20,20,15,15,18,100,2,19,"['Double [ ] elements', ' Double key', ' Integer from', ' Integer to']","['array_Double', 'Double ', 'Integer ', 'Integer ']",4,1,4,6,0,True,2,1,array_double ,java
bubble.java,4,19,17,12,12,15,99,4,18,['Integer [ ] a'],['array_Integer'],1,2,3,2,1,True,1,1,array_Integer ,java
cal_AbsoluteDiff.java,4,17,15,10,10,13,83,4,16,['Double [ ] z'],['array_Double'],1,1,1,1,3,True,3,1,array_double ,java
cal_Diff.java,2,11,9,6,6,7,66,4,10,"['final double [ ] x', ' final double [ ] y']","['array_double', 'array_double']",2,1,1,1,2,True,1,1,array_double ,java
cal_DividedDiff.java,3,16,16,12,12,14,142,2,15,"['final double x [ ]', ' final double y [ ]']","['array_double', 'array_double']",2,2,4,2,2,True,1,1,array_double ,java
canberraDist.java,4,13,11,8,8,9,105,4,12,"['Double [ ] a', ' Double [ ] b']","['array_Double', 'array_Double']",2,1,4,6,4,True,1,1,array_double ,java
chebyshevDist.java,4,18,16,11,11,14,108,4,17,"['Double [ ] p1', ' Double [ ] p2']","['array_Double', 'array_Double']",2,1,3,1,4,True,2,1,array_double ,java
checkNonNegative.java,3,12,10,6,6,8,45,4,11,['final double [ ] in'],['array_double'],1,1,1,0,1,True,2,1,array_boolean ,java
checkPositive.java,3,12,10,6,6,8,45,4,11,['final double [ ] in'],['array_double'],1,1,1,0,1,True,2,1,array_boolean ,java
check_equal.java,4,15,13,8,8,11,67,4,14,"['Integer [ ] a', ' Integer [ ] b']","['array_Integer', 'array_Integer']",2,1,1,0,1,True,3,1,array_Integer ,java
check_eq_tolerance.java,4,15,13,8,8,11,77,4,14,"['Double [ ] a', ' Double [ ] b', ' Double tol']","['array_Double', 'array_Double', 'Double ']",3,1,1,0,1,True,3,1,array_Double ,java
chiSquare.java,5,29,27,21,21,25,188,4,28,"['Double [ ] expected', ' Double [ ] observed']","['array_Double', 'array_Double']",2,2,9,12,4,True,1,1,array_double ,java
clip.java,4,19,17,12,12,15,101,4,18,"['Integer [ ] a', ' Integer lowerLim', ' Integer upperLim']","['array_Integer', 'Integer ', 'Integer ']",3,1,1,0,2,True,1,1,array_int ,java
cnt_zeroes.java,3,13,11,7,7,9,49,4,12,['Integer [ ] a'],['array_Integer'],1,1,2,1,1,True,1,1,int ,java
cosineDist.java,5,22,20,15,15,18,142,4,21,"['Double [ ] p1', ' Double [ ] p2']","['array_Double', 'array_Double']",2,1,5,10,3,True,2,1,array_Double ,java
count_k.java,3,13,11,7,7,9,52,4,12,"['Integer [ ] a', ' Integer k']","['array_Integer', 'Integer ']",2,1,2,1,1,True,1,1,int ,java
count_non_zeroes.java,3,13,11,7,7,9,49,4,12,['Integer [ ] a'],['array_Integer'],1,1,2,1,1,True,1,1,int ,java
covariance.java,2,18,16,13,13,14,113,4,17,"['Double [ ] elements1', ' Double [ ] elements2']","['array_Double', 'array_Double']",2,1,7,8,1,True,1,1,array_double ,java
dec.java,2,11,9,6,4,5,42,3,8,"['int [ ] array1', ' int [ ] array2']","['array_int', 'array_int']",2,1,1,2,5,False,0,NA,NA,java
dec_array.java,2,11,9,6,6,7,42,4,10,"['Integer [ ] a', ' Integer k']","['array_Integer', 'Integer ']",2,1,1,1,1,True,1,1,array_Integer ,java
dist.java,2,11,9,6,6,7,57,4,10,"['Double [ ] p1', ' Double [ ] p2']","['array_Double', 'array_Double']",2,1,2,3,2,True,1,1,double ,java
distInf.java,2,11,9,6,6,7,64,4,10,"['Double [ ] p1', ' Double [ ] p2']","['array_Double', 'array_Double']",2,1,2,2,3,True,1,1,double ,java
dot_product.java,2,12,10,7,7,8,54,4,11,"['Integer [ ] a', ' Integer [ ] b']","['array_Integer', 'array_Integer']",2,1,2,2,1,True,1,1,int ,java
durbinWatson.java,2,13,11,8,8,9,61,4,12,['Double [ ] elements'],['array_Double'],1,1,4,3,1,True,1,1,array_double ,java
ebeAdd.java,3,14,12,8,8,10,72,4,13,"['Double [ ] a', ' Double [ ] b']","['array_Double', 'array_Double']",2,1,1,1,2,True,2,1,array_Double ,java
ebeDivide.java,3,14,12,8,8,10,73,4,13,"['Double [ ] a', ' Double [ ] b']","['array_Double', 'array_Double']",2,1,1,1,2,True,2,1,array_Double ,java
