,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,4,1,5,0,0.8333333333333334,0.0,1.0,0.16666666666666666,0.8333333333333334,0.9,0.9090909090909091,0.9199999999999999,0.9,0.9,0.9166666666666667,0.9166666666666667
1,k_2,2,4,2,2,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,0.4,0.4,0.4333333333333333,0.41666666666666663,0.4,0.41666666666666663,0.41666666666666663
2,k_3,3,5,1,1,0.16666666666666666,0.25,0.75,0.8333333333333334,0.16666666666666666,0.4,0.25,0.45,0.4375,0.4,0.4583333333333333,0.4583333333333333
3,k_4,4,0,6,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,k_5,3,2,4,1,0.6666666666666666,0.25,0.75,0.3333333333333333,0.6666666666666666,0.7,0.7272727272727272,0.7200000000000001,0.7,0.7,0.7083333333333333,0.7083333333333334
5,k_6,2,2,4,2,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6,0.6666666666666666,0.6,0.5833333333333333,0.6,0.5833333333333333,0.5833333333333333
6,k_7,5,3,2,0,0.4,0.0,1.0,0.6,0.4,0.7,0.5714285714285715,0.8125,0.8125,0.7,0.7,0.7
7,k_8,4,2,3,1,0.6,0.2,0.8,0.4,0.6,0.7,0.6666666666666665,0.7083333333333333,0.7083333333333333,0.7,0.7,0.7000000000000002
8,k_9,4,1,4,1,0.8,0.2,0.8,0.2,0.8,0.8,0.8000000000000002,0.8,0.8,0.8,0.8,0.8
9,k_10,5,3,2,0,0.4,0.0,1.0,0.6,0.4,0.7,0.5714285714285715,0.8125,0.8125,0.7,0.7,0.7
