,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,4,2,2,2,0.5,0.3333333333333333,0.6666666666666667,0.5,0.5,0.6,0.5,0.6,0.5833333333333333,0.6,0.5833333333333333,0.5833333333333334
1,k_2,6,1,3,0,0.75,0.0,1.0,0.25,0.75,0.9,0.8571428571428571,0.9142857142857143,0.9285714285714286,0.9,0.875,0.875
2,k_3,6,3,1,0,0.25,0.0,1.0,0.75,0.25,0.7,0.4,0.8,0.8333333333333333,0.7,0.625,0.625
3,k_4,6,1,2,1,0.6666666666666666,0.14285714285714285,0.8571428571428572,0.3333333333333333,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7619047619047619,0.8,0.7619047619047619,0.7619047619047619
4,k_5,7,2,1,0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,0.8,0.5,0.8444444444444444,0.8888888888888888,0.8,0.6666666666666666,0.6666666666666666
5,k_6,6,3,0,1,0.0,0.14285714285714285,0.8571428571428572,1.0,0.0,0.6,0.0,0.4666666666666666,0.3333333333333333,0.6,0.42857142857142855,0.4285714285714286
6,k_7,7,0,3,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,k_8,6,3,0,1,0.0,0.14285714285714285,0.8571428571428572,1.0,0.0,0.6,0.0,0.4666666666666666,0.3333333333333333,0.6,0.42857142857142855,0.4285714285714286
8,k_9,5,0,3,2,1.0,0.2857142857142857,0.7142857142857143,0.0,1.0,0.8,0.7499999999999999,0.8800000000000001,0.8,0.8,0.8571428571428572,0.8571428571428572
9,k_10,7,0,3,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
