,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,4,2,2,2,0.5,0.3333333333333333,0.6666666666666667,0.5,0.5,0.6,0.5,0.6,0.5833333333333333,0.6,0.5833333333333333,0.5833333333333334
1,k_2,3,2,2,3,0.5,0.5,0.5,0.5,0.5,0.5,0.4444444444444445,0.5199999999999999,0.5,0.5,0.5,0.5
2,k_3,6,2,1,1,0.3333333333333333,0.14285714285714285,0.8571428571428572,0.6666666666666666,0.3333333333333333,0.7,0.4,0.675,0.625,0.7,0.5952380952380952,0.5952380952380952
3,k_4,6,2,1,1,0.3333333333333333,0.14285714285714285,0.8571428571428572,0.6666666666666666,0.3333333333333333,0.7,0.4,0.675,0.625,0.7,0.5952380952380952,0.5952380952380952
4,k_5,6,3,0,1,0.0,0.14285714285714285,0.8571428571428572,1.0,0.0,0.6,0.0,0.4666666666666666,0.3333333333333333,0.6,0.42857142857142855,0.4285714285714286
5,k_6,7,2,1,0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,0.8,0.5,0.8444444444444444,0.8888888888888888,0.8,0.6666666666666666,0.6666666666666666
6,k_7,5,1,2,2,0.6666666666666666,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.6666666666666666,0.7,0.5714285714285715,0.7333333333333334,0.6666666666666667,0.7,0.6904761904761905,0.6904761904761905
7,k_8,6,3,0,1,0.0,0.14285714285714285,0.8571428571428572,1.0,0.0,0.6,0.0,0.4666666666666666,0.3333333333333333,0.6,0.42857142857142855,0.4285714285714286
8,k_9,6,2,1,1,0.3333333333333333,0.14285714285714285,0.8571428571428572,0.6666666666666666,0.3333333333333333,0.7,0.4,0.675,0.625,0.7,0.5952380952380952,0.5952380952380952
9,k_10,5,2,1,2,0.3333333333333333,0.2857142857142857,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.6,0.3333333333333333,0.6,0.5238095238095238,0.6,0.5238095238095238,0.5238095238095237
