,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,4,3,1,2,0.25,0.3333333333333333,0.6666666666666667,0.75,0.25,0.5,0.28571428571428575,0.47619047619047616,0.45238095238095233,0.5,0.4583333333333333,0.4583333333333334
1,k_2,5,0,4,1,1.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.9,0.888888888888889,0.9199999999999999,0.9,0.9,0.9166666666666667,0.9166666666666667
2,k_3,3,0,4,3,1.0,0.5,0.5,0.0,1.0,0.7,0.7272727272727273,0.8285714285714285,0.7857142857142857,0.7,0.75,0.75
3,k_4,6,4,0,0,0.0,0.0,1.0,1.0,0.0,0.6,0.0,0.36,0.3,0.6,0.5,0.5
4,k_5,7,2,1,0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,0.8,0.5,0.8444444444444444,0.8888888888888888,0.8,0.6666666666666666,0.6666666666666666
5,k_6,3,3,0,4,0.0,0.5714285714285714,0.4285714285714286,1.0,0.0,0.3,0.0,0.35,0.25,0.3,0.21428571428571427,0.2142857142857143
6,k_7,5,1,2,2,0.6666666666666666,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.6666666666666666,0.7,0.5714285714285715,0.7333333333333334,0.6666666666666667,0.7,0.6904761904761905,0.6904761904761905
7,k_8,6,2,1,1,0.3333333333333333,0.14285714285714285,0.8571428571428572,0.6666666666666666,0.3333333333333333,0.7,0.4,0.675,0.625,0.7,0.5952380952380952,0.5952380952380952
8,k_9,4,1,2,3,0.6666666666666666,0.42857142857142855,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.6,0.5,0.68,0.6000000000000001,0.6,0.6190476190476191,0.619047619047619
9,k_10,5,3,0,2,0.0,0.2857142857142857,0.7142857142857143,1.0,0.0,0.5,0.0,0.4375,0.3125,0.5,0.35714285714285715,0.35714285714285715
