,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,4,3,13,10,0.8125,0.7142857142857143,0.2857142857142857,0.1875,0.8125,0.5666666666666667,0.6666666666666667,0.5681159420289854,0.5683229813664596,0.5666666666666667,0.5491071428571428,0.5491071428571428
1,k_2,4,4,12,10,0.75,0.7142857142857143,0.2857142857142857,0.25,0.75,0.5333333333333333,0.631578947368421,0.5242424242424242,0.5227272727272727,0.5333333333333333,0.5178571428571428,0.5178571428571428
2,k_3,4,4,12,10,0.75,0.7142857142857143,0.2857142857142857,0.25,0.75,0.5333333333333333,0.631578947368421,0.5242424242424242,0.5227272727272727,0.5333333333333333,0.5178571428571428,0.5178571428571428
3,k_4,4,4,12,10,0.75,0.7142857142857143,0.2857142857142857,0.25,0.75,0.5333333333333333,0.631578947368421,0.5242424242424242,0.5227272727272727,0.5333333333333333,0.5178571428571428,0.5178571428571428
4,k_5,4,4,12,10,0.75,0.7142857142857143,0.2857142857142857,0.25,0.75,0.5333333333333333,0.631578947368421,0.5242424242424242,0.5227272727272727,0.5333333333333333,0.5178571428571428,0.5178571428571428
5,k_6,4,3,13,10,0.8125,0.7142857142857143,0.2857142857142857,0.1875,0.8125,0.5666666666666667,0.6666666666666667,0.5681159420289854,0.5683229813664596,0.5666666666666667,0.5491071428571428,0.5491071428571428
6,k_7,4,4,12,10,0.75,0.7142857142857143,0.2857142857142857,0.25,0.75,0.5333333333333333,0.631578947368421,0.5242424242424242,0.5227272727272727,0.5333333333333333,0.5178571428571428,0.5178571428571428
7,k_8,4,4,12,10,0.75,0.7142857142857143,0.2857142857142857,0.25,0.75,0.5333333333333333,0.631578947368421,0.5242424242424242,0.5227272727272727,0.5333333333333333,0.5178571428571428,0.5178571428571428
8,k_9,4,4,12,10,0.75,0.7142857142857143,0.2857142857142857,0.25,0.75,0.5333333333333333,0.631578947368421,0.5242424242424242,0.5227272727272727,0.5333333333333333,0.5178571428571428,0.5178571428571428
9,k_10,5,6,10,9,0.625,0.6428571428571429,0.3571428571428571,0.375,0.625,0.5,0.5714285714285714,0.492822966507177,0.49043062200956933,0.5,0.4910714285714286,0.49107142857142855
