,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,4,1,5,0,0.833333333,0,1,0.166666667,0.833333333,0.9,0.909090909,0.92,0.9,0.9,0.916666667,0.916666667
1,k_2,2,4,2,2,0.333333333,0.5,0.5,0.666666667,0.333333333,0.4,0.4,0.433333333,0.416666667,0.4,0.416666667,0.416666667
2,k_3,3,5,1,1,0.166666667,0.25,0.75,0.833333333,0.166666667,0.4,0.25,0.45,0.4375,0.4,0.458333333,0.458333333
3,k_4,4,0,6,0,1,0,1,0,1,1,1,1,1,1,1,1
4,k_5,3,2,4,1,0.666666667,0.25,0.75,0.333333333,0.666666667,0.7,0.727272727,0.72,0.7,0.7,0.708333333,0.708333333
5,k_6,2,2,4,2,0.666666667,0.5,0.5,0.333333333,0.666666667,0.6,0.666666667,0.6,0.583333333,0.6,0.583333333,0.583333333
6,k_7,5,3,2,0,0.4,0,1,0.6,0.4,0.7,0.571428571,0.8125,0.8125,0.7,0.7,0.7
7,k_8,4,2,3,1,0.6,0.2,0.8,0.4,0.6,0.7,0.666666667,0.708333333,0.708333333,0.7,0.7,0.7
8,k_9,4,1,4,1,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
9,k_10,5,3,2,0,0.4,0,1,0.6,0.4,0.7,0.571428571,0.8125,0.8125,0.7,0.7,0.7
,,,,,,,,,,0.586666667,0.69,0.656255411,0.725666667,0.717083333,0.69,0.698333333,0.698333333
