,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,3,1,5,1,0.8333333333333334,0.25,0.75,0.16666666666666666,0.8333333333333334,0.8,0.8333333333333334,0.8,0.7916666666666667,0.8,0.7916666666666667,0.7916666666666666
1,k_2,2,3,3,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5454545454545454,0.5199999999999999,0.5,0.5,0.5,0.5
2,k_3,2,4,2,2,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,0.4,0.4,0.4333333333333333,0.41666666666666663,0.4,0.41666666666666663,0.41666666666666663
3,k_4,2,0,6,2,1.0,0.5,0.5,0.0,1.0,0.8,0.8571428571428571,0.85,0.875,0.8,0.75,0.75
4,k_5,3,1,5,1,0.8333333333333334,0.25,0.75,0.16666666666666666,0.8333333333333334,0.8,0.8333333333333334,0.8,0.7916666666666667,0.8,0.7916666666666667,0.7916666666666666
5,k_6,4,0,6,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,k_7,2,3,2,3,0.4,0.6,0.4,0.6,0.4,0.4,0.4000000000000001,0.4,0.4,0.4,0.4,0.39999999999999997
7,k_8,4,1,4,1,0.8,0.2,0.8,0.2,0.8,0.8,0.8000000000000002,0.8,0.8,0.8,0.8,0.8
8,k_9,3,1,4,2,0.8,0.4,0.6,0.2,0.8,0.7,0.7272727272727272,0.7083333333333333,0.7083333333333333,0.7,0.7,0.7000000000000001
9,k_10,4,3,2,1,0.4,0.2,0.8,0.6,0.4,0.6,0.5,0.619047619047619,0.6190476190476191,0.6,0.6000000000000001,0.6
