,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,2,0,7,1,1,0.333333333,0.666666667,0,1,0.9,0.933333333,0.9125,0.9375,0.9,0.833333333,0.833333333
1,k_2,1,0,7,2,1,0.666666667,0.333333333,0,1,0.8,0.875,0.844444444,0.888888889,0.8,0.666666667,0.666666667
2,k_3,2,5,2,1,0.285714286,0.333333333,0.666666667,0.714285714,0.285714286,0.4,0.4,0.552380952,0.476190476,0.4,0.476190476,0.476190476
3,k_4,0,2,5,3,0.714285714,1,0,0.285714286,0.714285714,0.5,0.666666667,0.4375,0.3125,0.5,0.357142857,0.357142857
4,k_5,0,2,5,3,0.714285714,1,0,0.285714286,0.714285714,0.5,0.666666667,0.4375,0.3125,0.5,0.357142857,0.357142857
5,k_6,2,1,6,1,0.857142857,0.333333333,0.666666667,0.142857143,0.857142857,0.8,0.857142857,0.8,0.761904762,0.8,0.761904762,0.761904762
6,k_7,2,1,5,2,0.833333333,0.5,0.5,0.166666667,0.833333333,0.7,0.769230769,0.695238095,0.69047619,0.7,0.666666667,0.666666667
7,k_8,2,0,6,2,1,0.5,0.5,0,1,0.8,0.857142857,0.85,0.875,0.8,0.75,0.75
8,k_9,2,0,6,2,1,0.5,0.5,0,1,0.8,0.857142857,0.85,0.875,0.8,0.75,0.75
9,k_10,1,1,5,3,0.833333333,0.75,0.25,0.166666667,0.833333333,0.6,0.714285714,0.575,0.5625,0.6,0.541666667,0.541666667
,,,,,,,,,,0.823809524,0.68,0.759661172,0.695456349,0.669246032,0.68,0.616071429,0.616071429
,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.7847,0.6422,0.7275,0.6548,0.6150,,,
