,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,1,1,5,3,0.833333333,0.75,0.25,0.166666667,0.833333333,0.6,0.714285714,0.575,0.5625,0.6,0.541666667,0.541666667
1,k_2,2,1,5,2,0.833333333,0.5,0.5,0.166666667,0.833333333,0.7,0.769230769,0.695238095,0.69047619,0.7,0.666666667,0.666666667
2,k_3,1,1,5,3,0.833333333,0.75,0.25,0.166666667,0.833333333,0.6,0.714285714,0.575,0.5625,0.6,0.541666667,0.541666667
3,k_4,3,5,1,1,0.166666667,0.25,0.75,0.833333333,0.166666667,0.4,0.25,0.45,0.4375,0.4,0.458333333,0.458333333
4,k_5,0,0,6,4,1,1,0,0,1,0.6,0.75,0.36,0.3,0.6,0.5,0.5
5,k_6,3,0,6,1,1,0.25,0.75,0,1,0.9,0.923076923,0.914285714,0.928571429,0.9,0.875,0.875
6,k_7,1,2,3,4,0.6,0.8,0.2,0.4,0.6,0.4,0.5,0.380952381,0.380952381,0.4,0.4,0.4
7,k_8,0,0,5,5,1,1,0,0,1,0.5,0.666666667,0.25,0.25,0.5,0.5,0.5
8,k_9,0,1,4,5,0.8,1,0,0.2,0.8,0.4,0.571428571,0.222222222,0.222222222,0.4,0.4,0.4
9,k_10,4,4,1,1,0.2,0.2,0.8,0.8,0.2,0.5,0.285714286,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,0.726666667,0.56,0.614468864,0.492269841,0.483472222,0.56,0.538333333,0.538333333
