,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,0,0,4,6,1.0,1.0,0.0,0.0,1.0,0.4,0.5714285714285715,0.16,0.2,0.4,0.5,0.5
1,k_2,2,0,4,4,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,0.6,0.6666666666666666,0.8,0.75,0.6,0.6666666666666666,0.6666666666666667
2,k_3,3,2,1,4,0.3333333333333333,0.5714285714285714,0.4285714285714286,0.6666666666666666,0.3333333333333333,0.4,0.25,0.4800000000000001,0.4,0.4,0.38095238095238093,0.38095238095238093
3,k_4,1,0,3,6,1.0,0.8571428571428571,0.1428571428571429,0.0,1.0,0.4,0.5,0.8,0.6666666666666666,0.4,0.5714285714285714,0.5714285714285714
4,k_5,4,2,1,3,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.5,0.28571428571428575,0.5416666666666666,0.4583333333333333,0.5,0.45238095238095233,0.45238095238095233
5,k_6,0,1,2,7,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.2,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.2,0.3333333333333333,0.3333333333333333
6,k_7,0,0,3,7,1.0,1.0,0.0,0.0,1.0,0.3,0.4615384615384615,0.09,0.15,0.3,0.5,0.5
7,k_8,4,2,1,3,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.5,0.28571428571428575,0.5416666666666666,0.4583333333333333,0.5,0.45238095238095233,0.45238095238095233
8,k_9,4,1,2,3,0.6666666666666666,0.42857142857142855,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.6,0.5,0.68,0.6000000000000001,0.6,0.6190476190476191,0.619047619047619
9,k_10,0,1,2,7,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.2,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.2,0.3333333333333333,0.3333333333333333
