,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,2,0,4,4,1,0.666666667,0.333333333,0,1,0.6,0.666666667,0.8,0.75,0.6,0.666666667,0.666666667
1,k_2,2,0,4,4,1,0.666666667,0.333333333,0,1,0.6,0.666666667,0.8,0.75,0.6,0.666666667,0.666666667
2,k_3,5,2,2,1,0.5,0.166666667,0.833333333,0.5,0.5,0.7,0.571428571,0.695238095,0.69047619,0.7,0.666666667,0.666666667
3,k_4,3,2,2,3,0.5,0.5,0.5,0.5,0.5,0.5,0.444444444,0.52,0.5,0.5,0.5,0.5
4,k_5,1,0,3,6,1,0.857142857,0.142857143,0,1,0.4,0.5,0.8,0.666666667,0.4,0.571428571,0.571428571
5,k_6,3,3,0,4,0,0.571428571,0.428571429,1,0,0.3,0,0.35,0.25,0.3,0.214285714,0.214285714
6,k_7,4,0,3,3,1,0.428571429,0.571428571,0,1,0.7,0.666666667,0.85,0.75,0.7,0.785714286,0.785714286
7,k_8,3,1,2,4,0.666666667,0.571428571,0.428571429,0.333333333,0.666666667,0.5,0.444444444,0.625,0.541666667,0.5,0.547619048,0.547619048
8,k_9,4,2,1,3,0.333333333,0.428571429,0.571428571,0.666666667,0.333333333,0.5,0.285714286,0.541666667,0.458333333,0.5,0.452380952,0.452380952
9,k_10,0,1,2,7,0.666666667,1,0,0.333333333,0.666666667,0.2,0.333333333,0.066666667,0.111111111,0.2,0.333333333,0.333333333
,,,,,,,,,,0.666666667,0.5,0.457936508,0.604857143,0.546825397,0.5,0.54047619,0.54047619
