,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,0,0,7,3,1,1,0,0,1,0.7,0.823529412,0.49,0.35,0.7,0.5,0.5
1,k_2,0,2,5,3,0.714285714,1,0,0.285714286,0.714285714,0.5,0.666666667,0.4375,0.3125,0.5,0.357142857,0.357142857
2,k_3,0,1,6,3,0.857142857,1,0,0.142857143,0.857142857,0.6,0.75,0.466666667,0.333333333,0.6,0.428571429,0.428571429
3,k_4,1,0,6,3,1,0.75,0.25,0,1,0.7,0.8,0.8,0.833333333,0.7,0.625,0.625
4,k_5,0,0,6,4,1,1,0,0,1,0.6,0.75,0.36,0.3,0.6,0.5,0.5
5,k_6,0,0,6,4,1,1,0,0,1,0.6,0.75,0.36,0.3,0.6,0.5,0.5
6,k_7,0,0,6,4,1,1,0,0,1,0.6,0.75,0.36,0.3,0.6,0.5,0.5
7,k_8,1,2,4,3,0.666666667,0.75,0.25,0.333333333,0.666666667,0.5,0.615384615,0.476190476,0.452380952,0.5,0.458333333,0.458333333
8,k_9,1,0,6,3,1,0.75,0.25,0,1,0.7,0.8,0.8,0.833333333,0.7,0.625,0.625
9,k_10,1,0,6,3,1,0.75,0.25,0,1,0.7,0.8,0.8,0.833333333,0.7,0.625,0.625
,,,,,,,,,,0.923809524,0.62,0.750558069,0.535035714,0.484821429,0.62,0.511904762,0.511904762
