,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,3,0,4,3,1.0,0.5,0.5,0.0,1.0,0.7,0.7272727272727273,0.8285714285714285,0.7857142857142857,0.7,0.75,0.75
1,k_2,3,0,4,3,1.0,0.5,0.5,0.0,1.0,0.7,0.7272727272727273,0.8285714285714285,0.7857142857142857,0.7,0.75,0.75
2,k_3,2,0,4,4,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,0.6,0.6666666666666666,0.8,0.75,0.6,0.6666666666666666,0.6666666666666667
3,k_4,0,0,3,7,1.0,1.0,0.0,0.0,1.0,0.3,0.4615384615384615,0.09,0.15,0.3,0.5,0.5
4,k_5,2,0,3,5,1.0,0.7142857142857143,0.2857142857142857,0.0,1.0,0.5,0.5454545454545454,0.8125,0.6875,0.5,0.6428571428571428,0.6428571428571428
5,k_6,1,0,3,6,1.0,0.8571428571428571,0.1428571428571429,0.0,1.0,0.4,0.5,0.8,0.6666666666666666,0.4,0.5714285714285714,0.5714285714285714
6,k_7,0,1,2,7,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.2,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.2,0.3333333333333333,0.3333333333333333
7,k_8,2,2,1,5,0.3333333333333333,0.7142857142857143,0.2857142857142857,0.6666666666666666,0.3333333333333333,0.3,0.2222222222222222,0.4,0.3333333333333333,0.3,0.30952380952380953,0.30952380952380953
8,k_9,1,0,3,6,1.0,0.8571428571428571,0.1428571428571429,0.0,1.0,0.4,0.5,0.8,0.6666666666666666,0.4,0.5714285714285714,0.5714285714285714
9,k_10,1,0,3,6,1.0,0.8571428571428571,0.1428571428571429,0.0,1.0,0.4,0.5,0.8,0.6666666666666666,0.4,0.5714285714285714,0.5714285714285714
