,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,5,2,2,1,0.5,0.16666666666666666,0.8333333333333334,0.5,0.5,0.7,0.5714285714285715,0.6952380952380952,0.6904761904761905,0.7,0.6666666666666667,0.6666666666666666
1,k_2,4,0,4,2,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,0.8,0.8,0.8666666666666666,0.8333333333333333,0.8,0.8333333333333333,0.8333333333333334
2,k_3,4,2,1,3,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.5,0.28571428571428575,0.5416666666666666,0.4583333333333333,0.5,0.45238095238095233,0.45238095238095233
3,k_4,7,3,0,0,0.0,0.0,1.0,1.0,0.0,0.7,0.0,0.48999999999999994,0.35,0.7,0.5,0.5
4,k_5,6,3,0,1,0.0,0.14285714285714285,0.8571428571428572,1.0,0.0,0.6,0.0,0.4666666666666666,0.3333333333333333,0.6,0.42857142857142855,0.4285714285714286
5,k_6,6,2,1,1,0.3333333333333333,0.14285714285714285,0.8571428571428572,0.6666666666666666,0.3333333333333333,0.7,0.4,0.675,0.625,0.7,0.5952380952380952,0.5952380952380952
6,k_7,5,1,2,2,0.6666666666666666,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.6666666666666666,0.7,0.5714285714285715,0.7333333333333334,0.6666666666666667,0.7,0.6904761904761905,0.6904761904761905
7,k_8,5,3,0,2,0.0,0.2857142857142857,0.7142857142857143,1.0,0.0,0.5,0.0,0.4375,0.3125,0.5,0.35714285714285715,0.35714285714285715
8,k_9,6,1,2,1,0.6666666666666666,0.14285714285714285,0.8571428571428572,0.3333333333333333,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7619047619047619,0.8,0.7619047619047619,0.7619047619047619
9,k_10,5,3,0,2,0.0,0.2857142857142857,0.7142857142857143,1.0,0.0,0.5,0.0,0.4375,0.3125,0.5,0.35714285714285715,0.35714285714285715
