,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,1,1,6,2,0.857142857,0.666666667,0.333333333,0.142857143,0.857142857,0.7,0.8,0.675,0.625,0.7,0.595238095,0.595238095
1,k_2,1,1,6,2,0.857142857,0.666666667,0.333333333,0.142857143,0.857142857,0.7,0.8,0.675,0.625,0.7,0.595238095,0.595238095
2,k_3,1,4,3,2,0.428571429,0.666666667,0.333333333,0.571428571,0.428571429,0.4,0.5,0.48,0.4,0.4,0.380952381,0.380952381
3,k_4,1,3,4,2,0.571428571,0.666666667,0.333333333,0.428571429,0.571428571,0.5,0.615384615,0.541666667,0.458333333,0.5,0.452380952,0.452380952
4,k_5,1,0,7,2,1,0.666666667,0.333333333,0,1,0.8,0.875,0.844444444,0.888888889,0.8,0.666666667,0.666666667
5,k_6,2,1,6,1,0.857142857,0.333333333,0.666666667,0.142857143,0.857142857,0.8,0.857142857,0.8,0.761904762,0.8,0.761904762,0.761904762
6,k_7,0,1,5,4,0.833333333,1,0,0.166666667,0.833333333,0.5,0.666666667,0.333333333,0.277777778,0.5,0.416666667,0.416666667
7,k_8,1,0,6,3,1,0.75,0.25,0,1,0.7,0.8,0.8,0.833333333,0.7,0.625,0.625
8,k_9,2,0,6,2,1,0.5,0.5,0,1,0.8,0.857142857,0.85,0.875,0.8,0.75,0.75
9,k_10,1,1,5,3,0.833333333,0.75,0.25,0.166666667,0.833333333,0.6,0.714285714,0.575,0.5625,0.6,0.541666667,0.541666667
,,,,,,1,1,0.666666667,0.571428571,1,0.8,0.875,0.85,0.888888889,0.8,0.761904762,0.761904762
,,,,,,0.823809524,0.666666667,0.333333333,0.176190476,0.823809524,0.65,0.748562271,0.657444444,0.63077381,0.65,0.578571429,0.578571429
