,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,3,0,6,1,1.0,0.25,0.75,0.0,1.0,0.9,0.923076923076923,0.9142857142857143,0.9285714285714286,0.9,0.875,0.875
1,k_2,2,0,6,2,1.0,0.5,0.5,0.0,1.0,0.8,0.8571428571428571,0.85,0.875,0.8,0.75,0.75
2,k_3,3,2,4,1,0.6666666666666666,0.25,0.75,0.3333333333333333,0.6666666666666666,0.7,0.7272727272727272,0.7200000000000001,0.7,0.7,0.7083333333333333,0.7083333333333334
3,k_4,3,0,6,1,1.0,0.25,0.75,0.0,1.0,0.9,0.923076923076923,0.9142857142857143,0.9285714285714286,0.9,0.875,0.875
4,k_5,2,1,5,2,0.8333333333333334,0.5,0.5,0.16666666666666666,0.8333333333333334,0.7,0.7692307692307692,0.6952380952380952,0.6904761904761905,0.7,0.6666666666666667,0.6666666666666667
5,k_6,4,0,6,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,k_7,5,1,4,0,0.8,0.0,1.0,0.2,0.8,0.9,0.888888888888889,0.9166666666666667,0.9166666666666667,0.9,0.9,0.9
7,k_8,3,0,5,2,1.0,0.4,0.6,0.0,1.0,0.8,0.8333333333333333,0.8571428571428571,0.8571428571428572,0.8,0.8,0.8
8,k_9,5,0,5,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,k_10,5,0,5,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
