,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,5,2,2,1,0.5,0.16666666666666666,0.8333333333333334,0.5,0.5,0.7,0.5714285714285715,0.6952380952380952,0.6904761904761905,0.7,0.6666666666666667,0.6666666666666666
1,k_2,6,0,4,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,k_3,7,1,2,0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.9,0.8,0.9125,0.9375,0.9,0.8333333333333333,0.8333333333333333
3,k_4,7,0,3,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,k_5,7,1,2,0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.9,0.8,0.9125,0.9375,0.9,0.8333333333333333,0.8333333333333333
5,k_6,6,2,1,1,0.3333333333333333,0.14285714285714285,0.8571428571428572,0.6666666666666666,0.3333333333333333,0.7,0.4,0.675,0.625,0.7,0.5952380952380952,0.5952380952380952
6,k_7,7,0,3,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,k_8,7,0,3,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,k_9,7,0,3,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,k_10,7,2,1,0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,0.8,0.5,0.8444444444444444,0.8888888888888888,0.8,0.6666666666666666,0.6666666666666666
