,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,5,3,1,1,0.25,0.16666666666666666,0.8333333333333334,0.75,0.25,0.6,0.3333333333333333,0.575,0.5625,0.6,0.5416666666666667,0.5416666666666667
1,k_2,6,0,4,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,k_3,6,0,4,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,k_4,6,1,3,0,0.75,0.0,1.0,0.25,0.75,0.9,0.8571428571428571,0.9142857142857143,0.9285714285714286,0.9,0.875,0.875
4,k_5,6,0,3,1,1.0,0.14285714285714285,0.8571428571428572,0.0,1.0,0.9,0.8571428571428571,0.925,0.875,0.9,0.9285714285714286,0.9285714285714286
5,k_6,6,2,1,1,0.3333333333333333,0.14285714285714285,0.8571428571428572,0.6666666666666666,0.3333333333333333,0.7,0.4,0.675,0.625,0.7,0.5952380952380952,0.5952380952380952
6,k_7,6,1,2,1,0.6666666666666666,0.14285714285714285,0.8571428571428572,0.3333333333333333,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7619047619047619,0.8,0.7619047619047619,0.7619047619047619
7,k_8,6,1,2,1,0.6666666666666666,0.14285714285714285,0.8571428571428572,0.3333333333333333,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7619047619047619,0.8,0.7619047619047619,0.7619047619047619
8,k_9,7,0,3,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,k_10,6,1,2,1,0.6666666666666666,0.14285714285714285,0.8571428571428572,0.3333333333333333,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7619047619047619,0.8,0.7619047619047619,0.7619047619047619
