,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,3,1,5,1,0.8333333333333334,0.25,0.75,0.16666666666666666,0.8333333333333334,0.8,0.8333333333333334,0.8,0.7916666666666667,0.8,0.7916666666666667,0.7916666666666666
1,k_2,2,3,3,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5454545454545454,0.5199999999999999,0.5,0.5,0.5,0.5
2,k_3,3,4,2,1,0.3333333333333333,0.25,0.75,0.6666666666666666,0.3333333333333333,0.5,0.4444444444444444,0.5714285714285714,0.5476190476190476,0.5,0.5416666666666666,0.5416666666666666
3,k_4,2,1,5,2,0.8333333333333334,0.5,0.5,0.16666666666666666,0.8333333333333334,0.7,0.7692307692307692,0.6952380952380952,0.6904761904761905,0.7,0.6666666666666667,0.6666666666666667
4,k_5,3,1,5,1,0.8333333333333334,0.25,0.75,0.16666666666666666,0.8333333333333334,0.8,0.8333333333333334,0.8,0.7916666666666667,0.8,0.7916666666666667,0.7916666666666666
5,k_6,4,2,4,0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.8,0.8,0.8666666666666666,0.8333333333333333,0.8,0.8333333333333333,0.8333333333333333
6,k_7,3,3,2,2,0.4,0.4,0.6,0.6,0.4,0.5,0.4444444444444445,0.5,0.5,0.5,0.5,0.5
7,k_8,4,1,4,1,0.8,0.2,0.8,0.2,0.8,0.8,0.8000000000000002,0.8,0.8,0.8,0.8,0.8
8,k_9,4,1,4,1,0.8,0.2,0.8,0.2,0.8,0.8,0.8000000000000002,0.8,0.8,0.8,0.8,0.8
9,k_10,4,4,1,1,0.2,0.2,0.8,0.8,0.2,0.5,0.28571428571428575,0.5,0.5,0.5,0.5,0.5
