,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,5,3,1,1,0.25,0.166666667,0.833333333,0.75,0.25,0.6,0.333333333,0.575,0.5625,0.6,0.541666667,0.541666667
1,k_2,6,2,2,0,0.5,0,1,0.5,0.5,0.8,0.666666667,0.85,0.875,0.8,0.75,0.75
2,k_3,4,2,2,2,0.5,0.333333333,0.666666667,0.5,0.5,0.6,0.5,0.6,0.583333333,0.6,0.583333333,0.583333333
3,k_4,5,3,1,1,0.25,0.166666667,0.833333333,0.75,0.25,0.6,0.333333333,0.575,0.5625,0.6,0.541666667,0.541666667
4,k_5,4,3,0,3,0,0.428571429,0.571428571,1,0,0.4,0,0.4,0.285714286,0.4,0.285714286,0.285714286
5,k_6,6,3,0,1,0,0.142857143,0.857142857,1,0,0.6,0,0.466666667,0.333333333,0.6,0.428571429,0.428571429
6,k_7,4,2,1,3,0.333333333,0.428571429,0.571428571,0.666666667,0.333333333,0.5,0.285714286,0.541666667,0.458333333,0.5,0.452380952,0.452380952
7,k_8,6,1,2,1,0.666666667,0.142857143,0.857142857,0.333333333,0.666666667,0.8,0.666666667,0.8,0.761904762,0.8,0.761904762,0.761904762
8,k_9,6,2,1,1,0.333333333,0.142857143,0.857142857,0.666666667,0.333333333,0.7,0.4,0.675,0.625,0.7,0.595238095,0.595238095
9,k_10,3,1,2,4,0.666666667,0.571428571,0.428571429,0.333333333,0.666666667,0.5,0.444444444,0.625,0.541666667,0.5,0.547619048,0.547619048
,,,,,,,,,,0.35,0.61,0.363015873,0.610833333,0.558928571,0.61,0.548809524,0.548809524
