,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,2,1,6,1,0.8571428571428571,0.3333333333333333,0.6666666666666667,0.14285714285714285,0.8571428571428571,0.8,0.8571428571428571,0.8,0.7619047619047619,0.8,0.7619047619047619,0.7619047619047621
1,k_2,0,3,4,3,0.5714285714285714,1.0,0.0,0.42857142857142855,0.5714285714285714,0.4,0.5714285714285714,0.4,0.2857142857142857,0.4,0.2857142857142857,0.2857142857142857
2,k_3,2,5,2,1,0.2857142857142857,0.3333333333333333,0.6666666666666667,0.7142857142857143,0.2857142857142857,0.4,0.4,0.5523809523809523,0.47619047619047616,0.4,0.47619047619047616,0.4761904761904762
3,k_4,1,3,4,2,0.5714285714285714,0.6666666666666666,0.33333333333333337,0.42857142857142855,0.5714285714285714,0.5,0.6153846153846153,0.5416666666666666,0.4583333333333333,0.5,0.45238095238095233,0.4523809523809524
4,k_5,0,2,5,3,0.7142857142857143,1.0,0.0,0.2857142857142857,0.7142857142857143,0.5,0.6666666666666666,0.4375,0.3125,0.5,0.35714285714285715,0.35714285714285715
5,k_6,2,2,5,1,0.7142857142857143,0.3333333333333333,0.6666666666666667,0.2857142857142857,0.7142857142857143,0.7,0.7692307692307692,0.7333333333333334,0.6666666666666667,0.7,0.6904761904761905,0.6904761904761906
6,k_7,3,1,5,1,0.8333333333333334,0.25,0.75,0.16666666666666666,0.8333333333333334,0.8,0.8333333333333334,0.8,0.7916666666666667,0.8,0.7916666666666667,0.7916666666666666
7,k_8,2,0,6,2,1.0,0.5,0.5,0.0,1.0,0.8,0.8571428571428571,0.85,0.875,0.8,0.75,0.75
8,k_9,1,1,5,3,0.8333333333333334,0.75,0.25,0.16666666666666666,0.8333333333333334,0.6,0.7142857142857143,0.575,0.5625,0.6,0.5416666666666667,0.5416666666666667
9,k_10,1,1,5,3,0.8333333333333334,0.75,0.25,0.16666666666666666,0.8333333333333334,0.6,0.7142857142857143,0.575,0.5625,0.6,0.5416666666666667,0.5416666666666667
