,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,1,0,7,2,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,0.8,0.8750000000000001,0.8444444444444444,0.8888888888888888,0.8,0.6666666666666666,0.6666666666666667
1,k_2,3,2,5,0,0.7142857142857143,0.0,1.0,0.2857142857142857,0.7142857142857143,0.8,0.8333333333333333,0.8800000000000001,0.8,0.8,0.8571428571428572,0.8571428571428572
2,k_3,1,4,3,2,0.42857142857142855,0.6666666666666666,0.33333333333333337,0.5714285714285714,0.42857142857142855,0.4,0.5,0.4800000000000001,0.4,0.4,0.38095238095238093,0.380952380952381
3,k_4,0,1,5,4,0.8333333333333334,1.0,0.0,0.16666666666666666,0.8333333333333334,0.5,0.6666666666666667,0.33333333333333337,0.2777777777777778,0.5,0.4166666666666667,0.4166666666666667
4,k_5,0,0,6,4,1.0,1.0,0.0,0.0,1.0,0.6,0.7499999999999999,0.36,0.3,0.6,0.5,0.5
5,k_6,2,0,6,2,1.0,0.5,0.5,0.0,1.0,0.8,0.8571428571428571,0.85,0.875,0.8,0.75,0.75
6,k_7,1,3,3,3,0.5,0.75,0.25,0.5,0.5,0.4,0.5,0.4,0.375,0.4,0.375,0.375
7,k_8,1,4,2,3,0.3333333333333333,0.75,0.25,0.6666666666666666,0.3333333333333333,0.3,0.3636363636363636,0.32,0.30000000000000004,0.3,0.29166666666666663,0.29166666666666663
8,k_9,1,0,6,3,1.0,0.75,0.25,0.0,1.0,0.7,0.8,0.8,0.8333333333333333,0.7,0.625,0.625
9,k_10,2,1,5,2,0.8333333333333334,0.5,0.5,0.16666666666666666,0.8333333333333334,0.7,0.7692307692307692,0.6952380952380952,0.6904761904761905,0.7,0.6666666666666667,0.6666666666666667
