,MR,CCN,tloc,sloc_whbl,sloc_statements,nloc_whbl,nloc,token_count,start_line,end_line,numArg,numLoops,total_Var,numitOper,numMethCall,has_return,totalReturn,numOperands,dataArg,returnDataType,ext,full_parameters,MAX
0,ADD,0.145,0.103,0.059,0.055,0.045,0.044,0.043,0.042,0.042,0.041,0.041,0.039,0.038,0.035,0.033,0.032,0.030,0.133,0,0,0,0.145
1,EXC,0.109,0.078,0.068,0.061,0.060,0.058,0.057,0.056,0.055,0.052,0.038,0.035,0.033,0.031,0.030,0.028,0.026,0.126,0,0,0,0.126
2,INC,0.108,0.070,0.064,0.061,0.060,0.059,0.058,0.057,0.056,0.055,0.044,0.037,0.034,0.030,0.028,0.027,0.021,0.133,0,0,0,0.133
3,MUL,0.112,0.105,0.064,0.052,0.050,0.046,0.044,0.043,0.041,0.040,0.040,0.039,0.038,0.037,0.035,0.033,0.024,0.157,0,0,0,0.157
4,PER,0.180,0.097,0.074,0.068,0.064,0.044,0.042,0.041,0.040,0.039,0.038,0.036,0.034,0.033,0.026,0.025,0.016,0.103,0,0,0,0.180
5,INV,0.109,0.089,0.065,0.055,0.051,0.049,0.047,0.046,0.044,0.043,0.042,0.040,0.035,0.033,0.032,0.031,0.029,0.159,0,0,0,0.159
,,,,,,,,,,,,,,,,,,,,,,,
0,ADD,1.003,0.709,0.404,0.379,0.311,0.304,0.296,0.291,0.287,0.284,0.280,0.271,0.262,0.243,0.228,0.221,0.208,0.916,0.000,0.000,0.000,
1,EXC,0.862,0.615,0.539,0.484,0.475,0.460,0.450,0.445,0.435,0.415,0.302,0.276,0.264,0.244,0.235,0.223,0.209,1.002,0.000,0.000,0.000,
2,INC,0.811,0.528,0.479,0.462,0.450,0.443,0.434,0.428,0.418,0.412,0.329,0.275,0.253,0.224,0.214,0.201,0.160,0.997,0.000,0.000,0.000,
3,MUL,0.715,0.670,0.407,0.330,0.318,0.295,0.280,0.272,0.263,0.257,0.253,0.249,0.243,0.233,0.225,0.207,0.154,0.997,0.000,0.000,0.000,
4,PER,0.998,0.537,0.410,0.380,0.357,0.243,0.232,0.226,0.223,0.217,0.212,0.200,0.191,0.181,0.147,0.139,0.089,0.574,0.000,0.000,0.000,
5,INV,0.684,0.558,0.411,0.348,0.324,0.309,0.297,0.289,0.278,0.272,0.264,0.250,0.218,0.207,0.201,0.194,0.185,1.000,0.000,0.000,0.000,
