,cyclomatic_complexity,tloc,sloc_whbl,sloc_statements_wc,nloc_whbl,nloc,token_count,start_line,end_line,numArg,numLoops,numVariablesDeclared,numAritOper,numExternalMethods,return,Total_return,TotalVariablesReturned,argDT_byte,argDT_short,argDT_int,argDT_long,argDT_double,argDT_char,argDT_boolean,argDT_Integer,argDT_float,argDT_Byte,argDT_Short,argDT_Long,argDT_Double,argDT_Char,argDT_BooleanargDT_array_byte,argDT_array_short,argDT_array_int,argDT_array_long,argDT_array_double,argDT_array_char,argDT_array_boolean,argDT_array_Integer,argDT_array_float,argDT_array_Byte,argDT_array_Short,argDT_array_Long,argDT_array_Double,argDT_array_Char,argDT_array_Boolean,argDT_none,returnDT_byte,returnDT_short,returnDT_int,returnDT_long,returnDT_double,returnDT_char,returnDT_boolean,returnDT_Integer,returnDT_float,returnDT_Byte,returnDT_Short,returnDT_Long,returnDT_Double,returnDT_Char,returnDT_BooleanreturnDT_array_byte,returnDT_array_short,returnDT_array_int,returnDT_array_long,returnDT_array_double,returnDT_array_char,returnDT_array_boolean,returnDT_array_Integer,returnDT_array_float,returnDT_array_Byte,returnDT_array_Short,returnDT_array_Long,returnDT_array_Double,returnDT_array_Char,returnDT_array_Boolean,returnDT_none
0,0.107448783,0.072313777,0.065101688,0.060517149,0.058481549,0.058404926,0.056920545,0.056442431,0.05425191,0.052376004,0.044504207,0.039105358,0.032434312,0.030515599,0.028845927,0.027191571,0.02185507,0.019474848,0.019440338,0.016793544,0.01388471,0.01373947,0.012161651,0.011218846,0.010549074,0.004567024,0.003822742,0.002189335,0.001951028,0.001864335,0.001632248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.110251973,0.067460857,0.064795186,0.06178424,0.059695494,0.057793535,0.057111246,0.057033312,0.055606648,0.054573955,0.042826692,0.037282305,0.033378237,0.030710165,0.02969232,0.028676701,0.019393133,0.019380432,0.018163662,0.01730742,0.015145567,0.013365933,0.012370217,0.010513925,0.009315141,0.004946042,0.003452755,0.002561833,0.001998215,0.001764351,0.001648507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.106549047,0.071671736,0.063050217,0.062069771,0.059298415,0.059152063,0.058947446,0.056226298,0.0544988,0.053509016,0.044205148,0.038315469,0.031373135,0.030365376,0.030117957,0.026466161,0.021536764,0.020024701,0.019407195,0.017676203,0.01519188,0.012794909,0.012062909,0.011053802,0.009190619,0.004490154,0.003188425,0.002338353,0.001860998,0.001720716,0.001646318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.103450144,0.071469406,0.063871107,0.063150975,0.061273621,0.057665668,0.056541733,0.056273347,0.055446651,0.055405156,0.045838574,0.035416761,0.033991546,0.028455237,0.027415919,0.027313774,0.021876602,0.021480334,0.019368772,0.017939299,0.014864049,0.01263737,0.012440987,0.010665317,0.010204638,0.004127676,0.003817761,0.002447048,0.001864673,0.001781914,0.001503941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.112057607,0.07240566,0.065673143,0.06071737,0.057786196,0.057741728,0.057271386,0.05720683,0.056909812,0.055786475,0.042162237,0.03500442,0.033915595,0.02978933,0.027801493,0.024947666,0.019582359,0.019295069,0.019081399,0.018621757,0.014849277,0.014149135,0.012396548,0.010704769,0.010061903,0.004001663,0.003620348,0.001956106,0.001764741,0.001422623,0.001315355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.110937145,0.068306275,0.064891116,0.061126248,0.05983201,0.059542134,0.05620642,0.055969437,0.055191209,0.054927322,0.043492777,0.034679826,0.033886133,0.029255241,0.028681931,0.027778126,0.022929062,0.020159126,0.019106752,0.01794942,0.013845057,0.013397738,0.011040487,0.01099193,0.010083433,0.004311815,0.003288287,0.002489023,0.00243197,0.001761416,0.001511133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.101963196,0.068747217,0.062379046,0.061972764,0.060362922,0.059712082,0.059646007,0.058308973,0.057338749,0.056826181,0.046341277,0.037160444,0.03597912,0.029449827,0.027615871,0.02608942,0.021690656,0.0193591,0.01654498,0.015862517,0.015025745,0.013121785,0.012623972,0.010662945,0.009845168,0.004494118,0.003504101,0.00198888,0.001819569,0.001812983,0.001750383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.11263279,0.073440325,0.0622805,0.060911413,0.059354872,0.057225062,0.057155778,0.055701257,0.054765337,0.054526309,0.043222359,0.03834,0.034211976,0.030184992,0.027762396,0.025872364,0.020910048,0.020824337,0.019170004,0.018024435,0.013961503,0.013208443,0.011766062,0.009850977,0.009752108,0.004260233,0.00285528,0.002134834,0.001945089,0.001922437,0.00182648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.105613957,0.06665797,0.061914933,0.061693713,0.061659467,0.061419683,0.060351439,0.059612049,0.056732513,0.055247152,0.040534013,0.034030872,0.033936831,0.028814879,0.028032838,0.026428436,0.021724412,0.020762986,0.019516607,0.017616247,0.014523269,0.014146502,0.012632204,0.011165075,0.009895635,0.004413838,0.003576544,0.002009819,0.001926076,0.001899864,0.001510178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.107842357,0.069967209,0.063292452,0.060995972,0.06067131,0.059944017,0.056957266,0.056511847,0.055041578,0.054760269,0.044684117,0.036723973,0.03290387,0.031016035,0.028128309,0.026665455,0.021583399,0.019857741,0.01819579,0.017665686,0.012940208,0.012901111,0.012405208,0.011727361,0.010819062,0.003964957,0.003265347,0.002209184,0.002133847,0.002117084,0.00210798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1078747,0.070244043,0.063724939,0.061493962,0.059841586,0.05886009,0.057710927,0.056928578,0.055578321,0.054793784,0.04378114,0.036605943,0.033601076,0.029855668,0.028409496,0.026742967,0.02130815,0.020061868,0.01879955,0.017545653,0.014423126,0.01334624,0.012190025,0.010855495,0.009971678,0.004357752,0.003439159,0.002232441,0.001969621,0.001806772,0.001645252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
